,nome,cpf,idade,data,endreco,estado,pais
0,Stella Moura,094.713.852-88,55,10/02/1970,"Chácara Siqueira, 26
Santa Tereza
30471731 Albuquerque / MT",Amazonas,Brasil
1,Dr. João Lucas Brito,609.283.541-05,47,27/03/1978,"Praia de Fogaça, 921
Alípio De Melo
72652-554 Aparecida do Galho / RJ",Pará,Brasil
2,Beatriz Câmara,264.758.139-82,41,25/07/1984,"Largo de Mendes, 3
Dom Cabral
99333399 Mendes / MS",Rio Grande do Norte,Brasil
3,Sra. Ana Julia Leão,376.985.102-12,60,13/05/1965,"Chácara de Moreira, 4
Lagoinha
38008252 da Cunha / ES",Rondônia,Brasil
4,Dra. Melina Pereira,493.680.725-74,40,11/12/1985,"Conjunto Novais
Oeste
36072-579 Gonçalves / PI",Paraíba,Brasil
5,Melina Macedo,896.420.517-02,41,15/12/1984,"Largo Marques, 15
Santa Lúcia
38695-839 Jesus / TO",Maranhão,Brasil
6,Otto Câmara,390.426.581-42,29,04/01/1997,"Conjunto Gomes, 339
Jardim Guanabara
94345-236 Santos / RN",Tocantins,Brasil
7,Maria Laura Moraes,803.975.214-05,43,04/03/1982,"Morro Ravy Fogaça, 79
Canadá
37604649 Ramos / BA",Distrito Federal,Brasil
8,Sabrina Melo,026.847.931-31,28,10/08/1997,"Estação de Freitas
Comiteco
58101411 Jesus da Prata / MT",Goiás,Brasil
9,Pietra Farias,219.574.836-28,37,13/12/1988,"Vale Lavínia Araújo, 48
Vale Do Jatoba
76568-815 Moraes / MA",Piauí,Brasil
